 Obj. function:    Absolute gap:****************   Normalized gap:    67769.7813
 Obj. function:    Absolute gap:70093119488.0000   Normalized gap:    44942.4453
 Obj. function:    Absolute gap: 7615852032.0000   Normalized gap:     4883.1470
 Obj. function:    Absolute gap:  763714368.0000   Normalized gap:      489.6799
 Obj. function:    Absolute gap:  149020928.0000   Normalized gap:       95.5495
 Obj. function:    Absolute gap:   82079960.0000   Normalized gap:       52.6282
 Obj. function:    Absolute gap:   58056172.0000   Normalized gap:       37.2246
 Obj. function:    Absolute gap:   50439228.0000   Normalized gap:       32.3407
 Obj. function:    Absolute gap:   30522920.0000   Normalized gap:       19.5707
 Obj. function:    Absolute gap:   17568586.0000   Normalized gap:       11.2647
 Obj. function:    Absolute gap:   11830507.0000   Normalized gap:        7.5855
 Obj. function:    Absolute gap:    8984760.0000   Normalized gap:        5.7609
 Obj. function:    Absolute gap:    8773049.0000   Normalized gap:        5.6251
 Obj. function:    Absolute gap:    7893310.5000   Normalized gap:        5.0610
 Obj. function:    Absolute gap:    5222326.0000   Normalized gap:        3.3485
 Obj. function:    Absolute gap:    4948465.5000   Normalized gap:        3.1729
 Obj. function:    Absolute gap:    4747817.0000   Normalized gap:        3.0442
 Obj. function:    Absolute gap:    4221609.0000   Normalized gap:        2.7068
 Obj. function:    Absolute gap:    4010646.2500   Normalized gap:        2.5716
 Obj. function:    Absolute gap:    2746118.2500   Normalized gap:        1.7608
 Obj. function:    Absolute gap:    2417043.0000   Normalized gap:        1.5498
 Obj. function:    Absolute gap:    2443109.2500   Normalized gap:        1.5665
 Obj. function:    Absolute gap:    2115892.2500   Normalized gap:        1.3567
 Obj. function:    Absolute gap:    2231493.2500   Normalized gap:        1.4308
 Obj. function:    Absolute gap:    2111589.7500   Normalized gap:        1.3539
 Obj. function:    Absolute gap:    1549442.8750   Normalized gap:         .9935
 Obj. function:    Absolute gap:    1728973.2500   Normalized gap:        1.1086
 Obj. function:    Absolute gap:    1485095.0000   Normalized gap:         .9522
 Obj. function:    Absolute gap:    1383173.6250   Normalized gap:         .8869
 Obj. function:    Absolute gap:    1556195.1250   Normalized gap:         .9978
